,Регион,"Региональные органы исполнительной власти (Кол-во структур, ед)","Региональные органы исполнительной власти (Всего кол-во сотрудников, чел)",Региональные органы исполнительной власти (Всего с профильным образованием),"Региональные органы исполнительной власти (Всего объeм финансирования, руб)",Региональные органы исполнительной власти (Расходы на мероприятия),Региональные органы исполнительной власти (Расходы на адм функции),Региональные органы исполнительной власти (Расходы на ремонт),"Бюджетные учреждения (Кол-во структур, ед)","Бюджетные учреждения (Всего кол-во сотрудников, чел)",Бюджетные учреждения (Всего с профильным образованием),"Бюджетные учреждения (Всего объeм финансирования, руб)",Бюджетные учреждения (Расходы на мероприятия),Бюджетные учреждения (Расходы на адм функции),Бюджетные учреждения (Расходы на ремонт),"Муниципальные органы испольнительной власти (Кол-во структур, ед)","Муниципальные органы испольнительной власти (Всего кол-во сотрудников, чел)",Муниципальные органы испольнительной власти (Всего с профильным образованием),"Муниципальные органы испольнительной власти (Всего объeм финансирования, руб)",Муниципальные органы испольнительной власти (Расходы на мероприятия),Муниципальные органы испольнительной власти (Расходы на адм функции),Муниципальные органы испольнительной власти (Расходы на ремонт),"Муниципальные бюджетные учреждения (Кол-во структур, ед)","Муниципальные бюджетные учреждения (Всего кол-во сотрудников, чел)",Муниципальные бюджетные учреждения (Всего с профильным образованием),"Муниципальные бюджетные учреждения (Всего объeм финансирования, руб)",Муниципальные бюджетные учреждения (Расходы на мероприятия),Муниципальные бюджетные учреждения (Расходы на адм функции),Муниципальные бюджетные учреждения (Расходы на ремонт),"Региональные структуры по работе с молодeжью (Кол-во структур, ед)","Региональные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Региональные структуры по работе с молодeжью (Всего с профильным образованием),"Региональные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Региональные структуры по работе с молодeжью (Расходы на мероприятия),Региональные структуры по работе с молодeжью (Расходы на адм функции),Региональные структуры по работе с молодeжью (Расходы на ремонт),"Муниципальные структуры по работе с молодeжью (Кол-во структур, ед)","Муниципальные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Муниципальные структуры по работе с молодeжью (Всего с профильным образованием),"Муниципальные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Муниципальные структуры по работе с молодeжью (Расходы на мероприятия),Муниципальные структуры по работе с молодeжью (Расходы на адм функции),Муниципальные структуры по работе с молодeжью (Расходы на ремонт),Округ
60,Ростовская область,1.0,12.0,0.0,37092300,21702800.0,15389500.0,0.0,3.0,86.0,33.0,169118800,111770800.0,57348000.0,0.0,55.0,148.0,50.0,29147104,24271037.0,4876067.0,0.0,1.0,35.0,8.0,14147600,5594500.0,8553100.0,0.0,4.0,98.0,33.0,206211100,133473600.0,72737500.0,0.0,56.0,183.0,58.0,43294704,29865537.0,13429167.0,0.0,ЮФО
61,Рязанская область,1.0,7.0,0.0,14408891,6820804.0,7588087.0,0.0,2.0,72.0,0.0,52355060,5876435.0,33500543.0,12978082.0,29.0,49.0,0.0,27641208,9729904.0,17911304.0,0.0,2.0,89.0,0.0,45892400,4065600.0,41826800.0,0.0,3.0,79.0,0.0,66763951,12697239.0,41088630.0,12978082.0,31.0,138.0,0.0,73533608,13795504.0,59738104.0,0.0,ЦФО
62,Самарская область,1.0,14.0,4.0,175555188,159280282.0,16274906.0,0.0,1.0,70.0,5.0,173853076,63805773.0,6221923.0,103825380.0,37.0,137.0,31.0,94877985,55519593.0,39358392.0,0.0,48.0,388.0,42.0,224608212,84868479.0,138772614.0,967119.0,2.0,84.0,9.0,349408264,223086055.0,22496829.0,103825380.0,85.0,525.0,73.0,319486197,140388072.0,178131006.0,967119.0,ПФО
63,Санкт-Петербург,1.0,47.0,47.0,413415815,324099615.0,88998396.0,317804.0,4.0,732.0,458.0,789232284,409455040.0,329070394.0,50706850.0,18.0,68.0,67.0,14963900,14963900.0,0.0,0.0,28.0,3643.0,1460.0,2898867600,33876648.0,2538944565.0,326046387.0,5.0,779.0,505.0,1202648099,733554655.0,418068790.0,51024654.0,46.0,3711.0,1527.0,2913831500,48840548.0,2538944565.0,326046387.0,СЗФО
64,Саратовская область,1.0,5.0,2.0,11469311,7218493.0,4250818.0,0.0,1.0,62.0,44.0,25310592,22138528.0,3172064.0,0.0,36.0,69.0,10.0,10364461,2836085.0,7528376.0,0.0,6.0,273.0,161.0,40580320,915700.0,39664620.0,0.0,2.0,67.0,46.0,36779903,29357021.0,7422882.0,0.0,42.0,342.0,171.0,50944781,3751785.0,47192996.0,0.0,ПФО
65,Сахалинская область,1.0,6.0,0.0,264157800,205742000.0,58415800.0,0.0,1.0,30.0,1.0,99605900,59914100.0,39691800.0,0.0,18.0,27.0,4.0,50897898,31884809.0,19013089.0,0.0,2.0,42.0,19.0,49728400,10989300.0,38739100.0,0.0,2.0,36.0,1.0,363763700,265656100.0,98107600.0,0.0,20.0,69.0,23.0,100626298,42874109.0,57752189.0,0.0,ДФО
66,Свердловская область,1.0,12.0,2.0,68785649,46519500.0,22266149.0,0.0,2.0,103.0,34.0,53674841,29355638.0,24319203.0,0.0,45.0,111.0,42.0,58987561,22833848.0,36153713.0,0.0,63.0,877.0,181.0,446779241,84916528.0,333480040.0,28382673.0,3.0,115.0,36.0,122460490,75875138.0,46585352.0,0.0,108.0,988.0,223.0,505766802,107750376.0,369633753.0,28382673.0,УФО
67,Севастополь,1.0,31.0,3.0,4400000,4400000.0,0.0,0.0,1.0,167.0,0.0,30567600,29403700.0,1163900.0,0.0,10.0,13.0,0.0,4891960,3788146.0,1103814.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,198.0,3.0,34967600,33803700.0,1163900.0,0.0,10.0,13.0,0.0,4891960,3788146.0,1103814.0,0.0,ЮФО
68,Смоленская область,1.0,22.0,0.0,24158298,8205700.0,15952598.0,0.0,2.0,44.0,0.0,21521386,3224400.0,18296986.0,0.0,27.0,38.0,2.0,18941804,7111145.0,10352959.0,1477700.0,2.0,11.0,5.0,3373645,129245.0,3244400.0,0.0,3.0,66.0,0.0,45679684,11430100.0,34249584.0,0.0,29.0,49.0,7.0,22315449,7240390.0,13597359.0,1477700.0,ЦФО
69,Ставропольский край,1.0,6.0,3.0,1104000,1104000.0,0.0,0.0,1.0,21.0,15.0,26319960,8515509.0,17804451.0,0.0,5.0,31.0,17.0,25901378,11936301.0,13965077.0,0.0,29.0,190.0,27.0,53500174,7489551.0,46010623.0,0.0,2.0,27.0,18.0,27423960,9619509.0,17804451.0,0.0,34.0,221.0,44.0,79401552,19425852.0,59975700.0,0.0,СКФО
70,Тамбовская область,1.0,5.0,5.0,9908920,5974200.0,3934720.0,0.0,1.0,42.0,24.0,10462000,249800.0,10212200.0,0.0,30.0,59.0,22.0,23955329,6251556.0,17703773.0,0.0,5.0,48.0,1.0,27768867,14321340.0,10203695.0,3243832.0,2.0,47.0,29.0,20370920,6224000.0,14146920.0,0.0,35.0,107.0,23.0,51724196,20572896.0,27907468.0,3243832.0,ЦФО
71,Тверская область,1.0,15.0,1.0,130734680,115438984.0,15295696.0,0.0,1.0,21.0,1.0,32229268,15243990.0,10006390.0,6978888.0,42.0,64.0,9.0,42709029,28314582.0,14394447.0,0.0,6.0,92.0,6.0,40701119,5236119.0,32559242.0,2905758.0,2.0,36.0,2.0,162963948,130682974.0,25302086.0,6978888.0,48.0,156.0,15.0,83410148,33550701.0,46953689.0,2905758.0,ЦФО
72,Томская область,1.0,5.0,5.0,30585786,30585786.0,0.0,0.0,1.0,10.0,5.0,4709814,0.0,4709814.0,0.0,17.0,45.0,3.0,10997741,8871364.0,2126377.0,0.0,1.0,10.0,5.0,4891278,2053173.0,2838105.0,0.0,2.0,15.0,10.0,35295600,30585786.0,4709814.0,0.0,18.0,55.0,8.0,15889019,10924537.0,4964482.0,0.0,СФО
73,Тульская область,1.0,12.0,1.0,15377174,300000.0,15077174.0,0.0,3.0,172.0,12.0,194700167,33563380.0,84567757.0,76569030.0,26.0,39.0,1.0,11837792,4086546.0,7751246.0,0.0,13.0,322.0,16.0,152808355,8670159.0,136629931.0,7508265.0,4.0,184.0,13.0,210077341,33863380.0,99644931.0,76569030.0,39.0,361.0,17.0,164646147,12756705.0,144381177.0,7508265.0,ЦФО
74,Тюменская область,2.0,82.0,7.0,0,0.0,0.0,0.0,3.0,522.0,1.0,460498631,391423836.0,69074795.0,0.0,26.0,67.0,2.0,1628652,570800.0,1057852.0,0.0,46.0,1466.0,2.0,233096041,230547456.0,2256398.0,292187.0,5.0,604.0,8.0,460498631,391423836.0,69074795.0,0.0,72.0,1533.0,4.0,234724693,231118256.0,3314250.0,292187.0,УФО
75,Удмуртская Республика,1.0,8.0,8.0,29541369,29541369.0,0.0,0.0,2.0,94.0,79.0,92840907,46458795.0,40911700.0,5470412.0,23.0,53.0,17.0,17949946,2593390.0,15356556.0,0.0,26.0,564.0,138.0,227306888,140047110.0,84621317.0,2638461.0,3.0,102.0,87.0,122382276,76000164.0,40911700.0,5470412.0,49.0,617.0,155.0,245256834,142640500.0,99977873.0,2638461.0,ПФО
76,Ульяновская область,1.0,9.0,9.0,31948407,23509000.0,8439407.0,0.0,1.0,73.0,73.0,28509900,18516850.0,9993050.0,0.0,8.0,16.0,6.0,7200000,6214000.0,986000.0,0.0,242.0,563.0,542.0,1282000,880000.0,82000.0,320000.0,2.0,82.0,82.0,60458307,42025850.0,18432457.0,0.0,250.0,579.0,548.0,8482000,7094000.0,1068000.0,320000.0,ПФО
77,Хабаровский край,1.0,13.0,0.0,3755310,3755310.0,0.0,0.0,3.0,350.0,14.0,435986637,177152557.0,238747715.0,20086365.0,15.0,61.0,11.0,32252007,11486820.0,20765187.0,0.0,13.0,298.0,39.0,206520953,18130528.0,181553109.0,6837316.0,4.0,363.0,14.0,439741947,180907867.0,238747715.0,20086365.0,28.0,359.0,50.0,238772960,29617348.0,202318296.0,6837316.0,ДФО
78,Ханты-Мансийский автономный округ - Югра,1.0,6.0,6.0,188118454,178746800.0,9371654.0,0.0,2.0,221.0,27.0,311950900,70218400.0,237577846.0,4154654.0,21.0,117.0,37.0,163933126,22041337.0,141891789.0,0.0,27.0,1026.0,405.0,1033526516,219194704.0,779827354.0,34504458.0,3.0,227.0,33.0,500069354,248965200.0,246949500.0,4154654.0,48.0,1143.0,442.0,1197459642,241236041.0,921719143.0,34504458.0,УФО
79,Челябинская область,1.0,19.0,19.0,102654500,80590750.0,22063750.0,0.0,1.0,17.0,17.0,25213380,10456900.0,14756480.0,0.0,43.0,86.0,31.0,138768767,106212588.0,32556179.0,0.0,25.0,61.0,41.0,35812640,17589858.0,18222782.0,0.0,2.0,36.0,36.0,127867880,91047650.0,36820230.0,0.0,68.0,147.0,72.0,174581407,123802446.0,50778961.0,0.0,УФО
80,Чеченская Республика,1.0,49.0,0.0,16272302,12590000.0,3682302.0,0.0,3.0,90.0,0.0,6793600,0.0,6793600.0,0.0,17.0,35.0,6.0,130000,130000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,139.0,0.0,23065902,12590000.0,10475902.0,0.0,17.0,35.0,6.0,130000,130000.0,0.0,0.0,СКФО
81,Чувашская Республика,1.0,7.0,3.0,36171184,32455000.0,3716184.0,0.0,3.0,76.0,53.0,91029050,21144232.0,34381495.0,35503323.0,26.0,31.0,19.0,20510083,18112482.0,2397601.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,83.0,56.0,127200234,53599232.0,38097679.0,35503323.0,26.0,31.0,19.0,20510083,18112482.0,2397601.0,0.0,ПФО
82,Чукотский автономный округ,1.0,3.0,2.0,115915300,112016700.0,3898600.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,7.0,2.0,39086200,26990200.0,12096000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,3.0,2.0,115915300,112016700.0,3898600.0,0.0,7.0,7.0,2.0,39086200,26990200.0,12096000.0,0.0,ДФО
83,Ямало-Ненецкий автономный округ,1.0,37.0,0.0,618129104,470734202.0,147394902.0,0.0,3.0,170.0,0.0,446024000,162000795.0,284023205.0,0.0,13.0,90.0,28.0,342789776,54169839.0,224970221.0,63649716.0,21.0,590.0,63.0,953914154,175721188.0,777509304.0,683662.0,4.0,207.0,0.0,1064153104,632734997.0,431418107.0,0.0,34.0,680.0,91.0,1296703930,229891027.0,1002479525.0,64333378.0,УФО
84,Ярославская область,1.0,27.0,7.0,42931294,36438744.0,6492550.0,0.0,2.0,115.0,27.0,92927720,41538160.0,51389560.0,0.0,19.0,42.0,9.0,29322887,2639645.0,26277242.0,406000.0,21.0,314.0,54.0,104652783,24151236.0,76614868.0,3886679.0,3.0,142.0,34.0,135859014,77976904.0,57882110.0,0.0,40.0,356.0,63.0,133975670,26790881.0,102892110.0,4292679.0,ЦФО
