,Регион,"Региональные органы исполнительной власти (Кол-во структур, ед)","Региональные органы исполнительной власти (Всего кол-во сотрудников, чел)",Региональные органы исполнительной власти (Всего с профильным образованием),"Региональные органы исполнительной власти (Всего объeм финансирования, руб)",Региональные органы исполнительной власти (Расходы на мероприятия),Региональные органы исполнительной власти (Расходы на адм функции),Региональные органы исполнительной власти (Расходы на ремонт),"Бюджетные учреждения (Кол-во структур, ед)","Бюджетные учреждения (Всего кол-во сотрудников, чел)",Бюджетные учреждения (Всего с профильным образованием),"Бюджетные учреждения (Всего объeм финансирования, руб)",Бюджетные учреждения (Расходы на мероприятия),Бюджетные учреждения (Расходы на адм функции),Бюджетные учреждения (Расходы на ремонт),"Муниципальные органы испольнительной власти (Кол-во структур, ед)","Муниципальные органы испольнительной власти (Всего кол-во сотрудников, чел)",Муниципальные органы испольнительной власти (Всего с профильным образованием),"Муниципальные органы испольнительной власти (Всего объeм финансирования, руб)",Муниципальные органы испольнительной власти (Расходы на мероприятия),Муниципальные органы испольнительной власти (Расходы на адм функции),Муниципальные органы испольнительной власти (Расходы на ремонт),"Муниципальные бюджетные учреждения (Кол-во структур, ед)","Муниципальные бюджетные учреждения (Всего кол-во сотрудников, чел)",Муниципальные бюджетные учреждения (Всего с профильным образованием),"Муниципальные бюджетные учреждения (Всего объeм финансирования, руб)",Муниципальные бюджетные учреждения (Расходы на мероприятия),Муниципальные бюджетные учреждения (Расходы на адм функции),Муниципальные бюджетные учреждения (Расходы на ремонт),"Региональные структуры по работе с молодeжью (Кол-во структур, ед)","Региональные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Региональные структуры по работе с молодeжью (Всего с профильным образованием),"Региональные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Региональные структуры по работе с молодeжью (Расходы на мероприятия),Региональные структуры по работе с молодeжью (Расходы на адм функции),Региональные структуры по работе с молодeжью (Расходы на ремонт),"Муниципальные структуры по работе с молодeжью (Кол-во структур, ед)","Муниципальные структуры по работе с молодeжью (Всего кол-во сотрудников, чел)",Муниципальные структуры по работе с молодeжью (Всего с профильным образованием),"Муниципальные структуры по работе с молодeжью (Всего объeм финансирования, руб)",Муниципальные структуры по работе с молодeжью (Расходы на мероприятия),Муниципальные структуры по работе с молодeжью (Расходы на адм функции),Муниципальные структуры по работе с молодeжью (Расходы на ремонт),Округ
35,Новосибирская область,1.0,8.0,1.0,0,0.0,0.0,0.0,1.0,115.0,65.0,136125358,39208266.0,89611685.0,7305407.0,25.0,53.0,30.0,24305726,7252811.0,17052915.0,0.0,43.0,1236.0,439.0,131117746,22827312.0,104803720.0,3486714.0,2.0,123.0,66.0,136125358,39208266.0,89611685.0,7305407.0,68.0,1289.0,469.0,155423472,30080123.0,121856635.0,3486714.0,СФО
36,Омская область,1.0,9.0,2.0,62990867,62547625.0,443242.0,0.0,3.0,89.0,21.0,80851994,13086423.0,67494596.0,270975.0,18.0,50.0,14.0,22337580,7246463.0,13227380.0,1863737.0,35.0,758.0,84.0,270231676,36320631.0,225855594.0,8055451.0,4.0,98.0,23.0,143842861,75634048.0,67937838.0,270975.0,53.0,808.0,98.0,292569256,43567094.0,239082974.0,9919188.0,СФО
37,Оренбургская область,1.0,10.0,3.0,61299342,50673727.0,10625615.0,0.0,1.0,49.0,41.0,130573016,97039402.0,31671717.0,1861897.0,41.0,60.0,27.0,34719939,9259745.0,25460194.0,0.0,6.0,62.0,17.0,32541701,6262337.0,26279364.0,0.0,2.0,59.0,44.0,191872358,147713129.0,42297332.0,1861897.0,47.0,122.0,44.0,67261640,15522082.0,51739558.0,0.0,ПФО
38,Орловская область,1.0,8.0,3.0,4290500,4290500.0,0.0,0.0,1.0,49.0,33.0,17890469,15347784.0,2542685.0,0.0,26.0,37.0,7.0,9304951,4275486.0,5029465.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,57.0,36.0,22180969,19638284.0,2542685.0,0.0,26.0,37.0,7.0,9304951,4275486.0,5029465.0,0.0,ЦФО
39,Пензенская область,1.0,4.0,0.0,25347300,25347300.0,0.0,0.0,1.0,31.0,0.0,17602400,2214100.0,15388300.0,0.0,28.0,31.0,0.0,6859521,4949338.0,1910183.0,0.0,2.0,66.0,3.0,11836848,1377000.0,10459848.0,0.0,2.0,35.0,0.0,42949700,27561400.0,15388300.0,0.0,30.0,97.0,3.0,18696369,6326338.0,12370031.0,0.0,ПФО
40,Пермский край,1.0,4.0,4.0,24764862,20860000.0,3904862.0,0.0,1.0,4.0,4.0,66975899,61416278.0,5559621.0,0.0,42.0,90.0,11.0,71237191,58317451.0,11209150.0,1710590.0,11.0,193.0,10.0,155631689,71837365.0,65750131.0,18044193.0,2.0,8.0,8.0,91740761,82276278.0,9464483.0,0.0,53.0,283.0,21.0,226868880,130154816.0,76959281.0,19754783.0,ПФО
41,Приморский край,1.0,10.0,0.0,30018094,17375923.0,12642171.0,0.0,1.0,13.0,0.0,47336552,24630162.0,22706390.0,0.0,30.0,68.0,12.0,76057369,33080621.0,39074147.0,3902601.0,94.0,1317.0,274.0,540210095,10441621.0,499682797.0,30085677.0,2.0,23.0,0.0,77354646,42006085.0,35348561.0,0.0,124.0,1385.0,286.0,616267464,43522242.0,538756944.0,33988278.0,ДФО
42,Псковская область,1.0,9.0,2.0,74707000,6548000.0,68159000.0,0.0,1.0,26.0,14.0,15703056,5329743.0,10159690.0,213623.0,12.0,23.0,2.0,9657110,7156859.0,2500251.0,0.0,21.0,54.0,6.0,22120351,3524712.0,17459400.0,1136239.0,2.0,35.0,16.0,90410056,11877743.0,78318690.0,213623.0,33.0,77.0,8.0,31777461,10681571.0,19959651.0,1136239.0,СЗФО
43,Республика Адыгея,1.0,4.0,0.0,14586530,10805100.0,3781430.0,0.0,1.0,5.0,0.0,545500,0.0,545500.0,0.0,9.0,18.0,0.0,12746800,3933200.0,8813600.0,0.0,1.0,17.0,0.0,6217000,0.0,6217000.0,0.0,2.0,9.0,0.0,15132030,10805100.0,4326930.0,0.0,10.0,35.0,0.0,18963800,3933200.0,15030600.0,0.0,ЮФО
44,Республика Алтай,1.0,2.0,2.0,0,0.0,0.0,0.0,1.0,14.0,14.0,17277500,8755940.0,8521560.0,0.0,10.0,18.0,11.0,1920426,916915.0,1003511.0,0.0,2.0,19.0,10.0,7977756,1207873.0,6469883.0,300000.0,2.0,16.0,16.0,17277500,8755940.0,8521560.0,0.0,12.0,37.0,21.0,9898182,2124788.0,7473394.0,300000.0,СФО
